,S/N,Product Name,Product Description,Old Price,Discount('%'),Promo Price
1114,892,Excelvan ,M10K6 - 10.1” 3G Android 6.0 2GB+16GB Dual SIM Card Tablet PC-Black,"₦ 39,600 ",-26%,"₦ 29,290 "
1115,893,Nokia ,"X6 (6.1 Plus) 5.8-Inch 19:19 FHD (6GB, 64GB ROM) Android 8.1 Oreo, (16MP+5MP) + 16MP, 3060mAh, Hybrid Dual SIM 4G LTE Smartphone - Black","₦ 63,500 ",-15%,"₦ 53,999 "
1117,894,Generic ,HOT SALE 10.1'' 4G + 64GB Android 7.0 Tablet PC Octa 8 Core,"₦ 58,999 ",-64%,"₦ 21,490  - ₦ 21,980 "
1118,895,Generic ,10.1'' 4G+64GB Android 7.0 Tablet PC Octa 8 Core HD WIFI Bluetooth 2 SIM 4G New,"₦ 100,400  - ₦ 102,400 ",-78%,"₦ 22,080 "
1119,896,TENFLY ,Power Bank 16800mAh For Smart Phones,"₦ 25,000 ",-88%,"₦ 2,950 "
1120,897,VILLAON ,Power Bank 10000mAh Fast Charge VPB-B101D - Black,"₦ 5,500 ",-37%,"₦ 3,480 "
1122,898,Generic ,Generic 64GB+4G Android 7.0 Tablet PC Octa 8 Core 2SIM-Black,"₦ 59,999 ",-65%,"₦ 20,950  - ₦ 21,950 "
1123,899,Samsung ,"Galaxy S10 Plus (S10+) 6.4-Inch AMOLED (8GB, 128GB ROM) Android 9.0 Pie, 12MP + 12MP + 16MP Dual SIM 4G Fingerprint Smartphone - Prism White",,,"₦ 267,999 "
1124,900,Infinix ,"HOT 7 Pro (X625B) 6.2-Inch HD+ (3GB,32GB ROM) Android 9 Pie (13MP+2MP) (13MP+2MP) 4000mAh Dual SIM 4G Smartphone - Midninght Black","₦ 44,514 ",-1%,"₦ 44,100 "
1125,901,Smart ,"Smart Wrist Watch Phone(SIM Card,Memory Card, Camera Etc)","₦ 7,500 ",-49%,"₦ 3,790 "
1127,902,Apple ,"IPhone X 5.8-Inches Super AMOLED (3GB RAM, 256GB ROM) IOS 11.1.1, (12MP + 12MP) + 7MP 4G LTE Smartphone - Silver",,,"₦ 282,900 "
1128,903,Gionee ,"S11 Lite 5.7-Inch HD 18:9 Full Screen (4GB,32GB ROM) Android 7.1 Nougat, (13MP + 2MP) + 16MP, Hybrid Dual SIM 4G LTE Fingerprint ID Smartphone - Gold","₦ 78,990 ",-54%,"₦ 36,200 "
1129,904,Samsung ,Level U Bluetooth Neckband Earpiece,"₦ 10,000 ",-53%,"₦ 4,689 "
1130,905, ,"Redmi Note 7 6.3-Inch (4GB RAM, 64GB ROM) Android 9.0 (Pie) (48MP + 5MP) + 13MP 4G Face & Fingerprint ID  - Blue","₦ 72,000 ",-6%,"₦ 67,800 "
1132,906,Infinix ,"Infinix S4 6.2""HD+ Water-drop (64GB ROM+6GB RAM) 13MP+8MP+2MP 32MP FF, Android 9pie, 4000mAh Battery-  Nebula Blue","₦ 66,000 ",-1%,"₦ 65,800 "
1133,907,Generic ,Smart Watch Bluetooth SmartWatches Men Support SIM TF Card Call Heart Rate Pedometer Sport Mode,"₦ 75,600 ",-74%,"₦ 20,000 "
1134,908,Generic ,"A1 Smartwatch With Sim & Memory Card, Camera & Pedometer-Black","₦ 7,500 ",-54%,"₦ 3,475 "
1135,909,A1 Smartwatch ,"Smart Watch Single Sim GSM, Bluetooth, Memory Card Slot & Camera For Android And IPhone-Black","₦ 6,000 ",-42%,"₦ 3,490 "
1137,910,Generic ,Smart Watches Wrist Dial SMS Remind Pedometer SmartWatch,"₦ 15,000 ",-65%,"₦ 5,220 "
1138,911,Henan ,"20,000mAh Power Bank - White",,,"₦ 2,300 "
1139,912,Generic ,Smart Watch---Metal Strap Bluetooth Wrist Smartwatch Support Sim TF Card Android&IOS Watch Multi-languages---SILVER,"₦ 9,000 ",-33%,"₦ 5,995 "
1140,913,Generic ,Fitness Tracker 0.96-Inch TFT Display Smartwatch,"₦ 6,000 ",-62%,"₦ 2,300 "
1142,914,Taiwan ,32GB Mobile Phone Memory Card Memory Card TF Card Driving Recorder Memory Card,"₦ 3,040 ",-41%,"₦ 1,800 "
1143,915,Generic ,S530 Upgrade 4.2 Bluetooth Earphone Mini Wireless Bluetooth ,₦ 800 ,-15%,₦ 680 
1144,916,Tecno ,"Spark 3 (KB7) 6.2-Inch HD (1GB,16GB ROM) Android 8.1 Oreo, 13MP + 8MP Dual SIM 3G Smartphone - Midnight Black","₦ 32,832 ",-2%,"₦ 32,240 "
1145,917,Rocco ,"10,400 mAh Fast Charging Triple USB Port Power Bank With Torch Light + (Free Mini USB Fan)","₦ 5,000 ",-38%,"₦ 3,100 "
1147,918,Infinix ,"Smart 2 HD (X609) 6-Inch HD+ (1GB + 16GB ROM) Android 8.1 Oreo, 8MP + 8MP Dual SIM Face & Fingerprint Unlock 3G Smartphone - Champagne Gold (JA19)","₦ 24,458 ",-4%,"₦ 23,540 "
1148,919,Infinix ,"Smart 2 HD (X609) 6-Inch HD+ (1GB + 16GB ROM) Android 8.1 Oreo, 8MP + 8MP Dual SIM Face & Fingerprint Unlock 3G Smartphone - Midnight Black (JA19)","₦ 24,441 ",-4%,"₦ 23,540 "
1149,920,Generic ,2019  Smart Watch Color Screen Blood Pressure Fitness Tracker Heart Rate Monitor Smart Band Sport For Android IOS Iphone,"₦ 8,900 ",-60%,"₦ 3,600 "
1150,921,Samsung ,"Galaxy A20 Dual Sim- 6.4"" (32gb+3gb Ram) 13MP + 5MP, 4G LTE-BLACK (JA19)","₦ 65,000 ",-20%,"₦ 52,000 "
1152,922,Infinix ,"S4 6.2""HD+ Water-drop (32GB ROM+3GB RAM) 13MP+8MP+2MP 32MP FF, Android 9pie, 4000mAh Battery- Nebula Blue","₦ 65,000 ",-23%,"₦ 50,200 "
1153,923,Samsung ,"Galaxy A30 6.4-Inch (4GB RAM, 64GB ROM) Android 9.0 Pie, (16MP + 5MP) + 16MP 4G LTE Smartphone - Blue (MW19)","₦ 67,942 ",-1%,"₦ 67,600 "
1154,924,Vernee ,"T3 Pro 5.5-Inch MTK6739 Quad-Core (3GB, 16GB ROM) Android 8.1 Oreo, 13MP Dual SIM 4080mAh, Face ID Smartphone - Black","₦ 39,999 ",-40%,"₦ 23,999 "
1155,925,Samsung ,"Galaxy A30 6.4-Inch (4GB RAM, 64GB ROM) Android 9.0 Pie, (16MP + 5MP) + 16MP 4G LTE Smartphone - Black",,,"₦ 67,499 "
1157,926,Gionee ,S10 Lite 5.2 Inch HD 4GB RAM 32GB ROM 16MP + 13MP Android 7.1 Hybrid Dual SIM 4G LTE Smartphone 3100mA - Gold,"₦ 44,590 ",-29%,"₦ 31,820 "
1158,927,Infinix ,"Smart 2 HD (X609) 6-Inch HD+ (1GB + 16GB ROM) Android 8.1 Oreo, 8MP + 8MP Dual SIM Face & Fingerprint Unlock 3G Smartphone - Aqua Blue (JA19)","₦ 24,509 ",-4%,"₦ 23,540 "
1159,928,Generic ,P35 PRO Android 9.1 Smart Phone 8Cores 6G+128GB Face Recognition Smartphone 6.3 Inch Touch Screen 4800mAh Long Standby,"₦ 99,080 ",-68%,"₦ 31,350 "
1160,929,Generic ,HOT SALE 10.1'' 6G+64GB Android 7.0 Tablet PC Octa 8 Core HD,"₦ 78,063 ",-73%,"₦ 20,999 "
1162,930,Generic ,HOT SALE 10.1'' 6G+64GB Android 7.0 Tablet PC Octa 8 Core HD,"₦ 78,063 ",-76%,"₦ 18,999  - ₦ 20,899 "
1163,931,Generic ,NEW 10.1'' Tablet PC Android 8.0 Octa Core 64GB 10 Inch HD WIFI 2 SIM 3G Phablet-Gold,"₦ 48,361 ",-61%,"₦ 18,990 "
1164,932,Excelvan ,M10K6 - 10.1” 3G Android 6.0 2GB+16GB Dual SIM Card Tablet PC-Black,"₦ 39,600 ",-26%,"₦ 29,290 "
1165,933,Nokia ,"X6 (6.1 Plus) 5.8-Inch 19:19 FHD (6GB, 64GB ROM) Android 8.1 Oreo, (16MP+5MP) + 16MP, 3060mAh, Hybrid Dual SIM 4G LTE Smartphone - Black","₦ 63,500 ",-15%,"₦ 53,999 "
1167,934,Generic ,HOT SALE 10.1'' 4G + 64GB Android 7.0 Tablet PC Octa 8 Core,"₦ 58,999 ",-64%,"₦ 21,490  - ₦ 21,980 "
1168,935,Generic ,10.1'' 4G+64GB Android 7.0 Tablet PC Octa 8 Core HD WIFI Bluetooth 2 SIM 4G New,"₦ 100,400  - ₦ 102,400 ",-78%,"₦ 22,080 "
1169,936,TENFLY ,Power Bank 16800mAh For Smart Phones,"₦ 25,000 ",-88%,"₦ 2,950 "
1170,937,VILLAON ,Power Bank 10000mAh Fast Charge VPB-B101D - Black,"₦ 5,500 ",-37%,"₦ 3,480 "
1172,938,Generic ,Generic 64GB+4G Android 7.0 Tablet PC Octa 8 Core 2SIM-Black,"₦ 59,999 ",-65%,"₦ 20,950  - ₦ 21,950 "
1173,939,Samsung ,"Galaxy S10 Plus (S10+) 6.4-Inch AMOLED (8GB, 128GB ROM) Android 9.0 Pie, 12MP + 12MP + 16MP Dual SIM 4G Fingerprint Smartphone - Prism White",,,"₦ 267,999 "
1174,940,Infinix ,"HOT 7 Pro (X625B) 6.2-Inch HD+ (3GB,32GB ROM) Android 9 Pie (13MP+2MP) (13MP+2MP) 4000mAh Dual SIM 4G Smartphone - Midninght Black","₦ 44,514 ",-1%,"₦ 44,100 "
1175,941,Smart ,"Smart Wrist Watch Phone(SIM Card,Memory Card, Camera Etc)","₦ 7,500 ",-49%,"₦ 3,790 "
1177,942,Apple ,"IPhone X 5.8-Inches Super AMOLED (3GB RAM, 256GB ROM) IOS 11.1.1, (12MP + 12MP) + 7MP 4G LTE Smartphone - Silver",,,"₦ 282,900 "
1178,943,Gionee ,"S11 Lite 5.7-Inch HD 18:9 Full Screen (4GB,32GB ROM) Android 7.1 Nougat, (13MP + 2MP) + 16MP, Hybrid Dual SIM 4G LTE Fingerprint ID Smartphone - Gold","₦ 78,990 ",-54%,"₦ 36,200 "
1179,944,Samsung ,Level U Bluetooth Neckband Earpiece,"₦ 10,000 ",-53%,"₦ 4,689 "
1180,945, ,"Redmi Note 7 6.3-Inch (4GB RAM, 64GB ROM) Android 9.0 (Pie) (48MP + 5MP) + 13MP 4G Face & Fingerprint ID  - Blue","₦ 72,000 ",-6%,"₦ 67,800 "
1182,946,Infinix ,"Infinix S4 6.2""HD+ Water-drop (64GB ROM+6GB RAM) 13MP+8MP+2MP 32MP FF, Android 9pie, 4000mAh Battery-  Nebula Blue","₦ 66,000 ",-1%,"₦ 65,800 "
1183,947,Generic ,Smart Watch Bluetooth SmartWatches Men Support SIM TF Card Call Heart Rate Pedometer Sport Mode,"₦ 75,600 ",-74%,"₦ 20,000 "
1184,948,Generic ,"A1 Smartwatch With Sim & Memory Card, Camera & Pedometer-Black","₦ 7,500 ",-54%,"₦ 3,475 "
1185,949,A1 Smartwatch ,"Smart Watch Single Sim GSM, Bluetooth, Memory Card Slot & Camera For Android And IPhone-Black","₦ 6,000 ",-42%,"₦ 3,490 "
1187,950,Generic ,Smart Watches Wrist Dial SMS Remind Pedometer SmartWatch,"₦ 15,000 ",-65%,"₦ 5,220 "
1188,951,Henan ,"20,000mAh Power Bank - White",,,"₦ 2,300 "
1189,952,Generic ,Smart Watch---Metal Strap Bluetooth Wrist Smartwatch Support Sim TF Card Android&IOS Watch Multi-languages---SILVER,"₦ 9,000 ",-33%,"₦ 5,995 "
1190,953,Generic ,Fitness Tracker 0.96-Inch TFT Display Smartwatch,"₦ 6,000 ",-62%,"₦ 2,300 "
1192,954,Taiwan ,32GB Mobile Phone Memory Card Memory Card TF Card Driving Recorder Memory Card,"₦ 3,040 ",-41%,"₦ 1,800 "
1193,955,Generic ,S530 Upgrade 4.2 Bluetooth Earphone Mini Wireless Bluetooth ,₦ 800 ,-15%,₦ 680 
1194,956,Tecno ,"Spark 3 (KB7) 6.2-Inch HD (1GB,16GB ROM) Android 8.1 Oreo, 13MP + 8MP Dual SIM 3G Smartphone - Midnight Black","₦ 32,832 ",-2%,"₦ 32,240 "
1195,957,Rocco ,"10,400 mAh Fast Charging Triple USB Port Power Bank With Torch Light + (Free Mini USB Fan)","₦ 5,000 ",-38%,"₦ 3,100 "
1197,958,Infinix ,"Smart 2 HD (X609) 6-Inch HD+ (1GB + 16GB ROM) Android 8.1 Oreo, 8MP + 8MP Dual SIM Face & Fingerprint Unlock 3G Smartphone - Champagne Gold (JA19)","₦ 24,458 ",-4%,"₦ 23,540 "
1198,959,Infinix ,"Smart 2 HD (X609) 6-Inch HD+ (1GB + 16GB ROM) Android 8.1 Oreo, 8MP + 8MP Dual SIM Face & Fingerprint Unlock 3G Smartphone - Midnight Black (JA19)","₦ 24,441 ",-4%,"₦ 23,540 "
1199,960,Generic ,2019  Smart Watch Color Screen Blood Pressure Fitness Tracker Heart Rate Monitor Smart Band Sport For Android IOS Iphone,"₦ 8,900 ",-60%,"₦ 3,600 "
1200,961,Samsung ,"Galaxy A20 Dual Sim- 6.4"" (32gb+3gb Ram) 13MP + 5MP, 4G LTE-BLACK (JA19)","₦ 65,000 ",-20%,"₦ 52,000 "
1202,962,Infinix ,"S4 6.2""HD+ Water-drop (32GB ROM+3GB RAM) 13MP+8MP+2MP 32MP FF, Android 9pie, 4000mAh Battery- Nebula Blue","₦ 65,000 ",-23%,"₦ 50,200 "
1203,963,Samsung ,"Galaxy A30 6.4-Inch (4GB RAM, 64GB ROM) Android 9.0 Pie, (16MP + 5MP) + 16MP 4G LTE Smartphone - Blue (MW19)","₦ 67,942 ",-1%,"₦ 67,600 "
1204,964,Vernee ,"T3 Pro 5.5-Inch MTK6739 Quad-Core (3GB, 16GB ROM) Android 8.1 Oreo, 13MP Dual SIM 4080mAh, Face ID Smartphone - Black","₦ 39,999 ",-40%,"₦ 23,999 "
1205,965,Samsung ,"Galaxy A30 6.4-Inch (4GB RAM, 64GB ROM) Android 9.0 Pie, (16MP + 5MP) + 16MP 4G LTE Smartphone - Black",,,"₦ 67,499 "
1207,966,Gionee ,S10 Lite 5.2 Inch HD 4GB RAM 32GB ROM 16MP + 13MP Android 7.1 Hybrid Dual SIM 4G LTE Smartphone 3100mA - Gold,"₦ 44,590 ",-29%,"₦ 31,820 "
1208,967,Infinix ,"Smart 2 HD (X609) 6-Inch HD+ (1GB + 16GB ROM) Android 8.1 Oreo, 8MP + 8MP Dual SIM Face & Fingerprint Unlock 3G Smartphone - Aqua Blue (JA19)","₦ 24,509 ",-4%,"₦ 23,540 "
1209,968,Generic ,P35 PRO Android 9.1 Smart Phone 8Cores 6G+128GB Face Recognition Smartphone 6.3 Inch Touch Screen 4800mAh Long Standby,"₦ 99,080 ",-68%,"₦ 31,350 "
1210,969,Generic ,HOT SALE 10.1'' 6G+64GB Android 7.0 Tablet PC Octa 8 Core HD,"₦ 78,063 ",-73%,"₦ 20,999 "
1212,970,Generic ,HOT SALE 10.1'' 6G+64GB Android 7.0 Tablet PC Octa 8 Core HD,"₦ 78,063 ",-76%,"₦ 18,999  - ₦ 20,899 "
1213,971,Generic ,NEW 10.1'' Tablet PC Android 8.0 Octa Core 64GB 10 Inch HD WIFI 2 SIM 3G Phablet-Gold,"₦ 48,361 ",-61%,"₦ 18,990 "
1214,972,Excelvan ,M10K6 - 10.1” 3G Android 6.0 2GB+16GB Dual SIM Card Tablet PC-Black,"₦ 39,600 ",-26%,"₦ 29,290 "
1215,973,Nokia ,"X6 (6.1 Plus) 5.8-Inch 19:19 FHD (6GB, 64GB ROM) Android 8.1 Oreo, (16MP+5MP) + 16MP, 3060mAh, Hybrid Dual SIM 4G LTE Smartphone - Black","₦ 63,500 ",-15%,"₦ 53,999 "
1217,974,Generic ,HOT SALE 10.1'' 4G + 64GB Android 7.0 Tablet PC Octa 8 Core,"₦ 58,999 ",-64%,"₦ 21,490  - ₦ 21,980 "
1218,975,Generic ,10.1'' 4G+64GB Android 7.0 Tablet PC Octa 8 Core HD WIFI Bluetooth 2 SIM 4G New,"₦ 100,400  - ₦ 102,400 ",-78%,"₦ 22,080 "
1219,976,TENFLY ,Power Bank 16800mAh For Smart Phones,"₦ 25,000 ",-88%,"₦ 2,950 "
1220,977,VILLAON ,Power Bank 10000mAh Fast Charge VPB-B101D - Black,"₦ 5,500 ",-37%,"₦ 3,480 "
1222,978,Generic ,Generic 64GB+4G Android 7.0 Tablet PC Octa 8 Core 2SIM-Black,"₦ 59,999 ",-65%,"₦ 20,950  - ₦ 21,950 "
1223,979,Samsung ,"Galaxy S10 Plus (S10+) 6.4-Inch AMOLED (8GB, 128GB ROM) Android 9.0 Pie, 12MP + 12MP + 16MP Dual SIM 4G Fingerprint Smartphone - Prism White",,,"₦ 267,999 "
1224,980,Infinix ,"HOT 7 Pro (X625B) 6.2-Inch HD+ (3GB,32GB ROM) Android 9 Pie (13MP+2MP) (13MP+2MP) 4000mAh Dual SIM 4G Smartphone - Midninght Black","₦ 44,514 ",-1%,"₦ 44,100 "
1225,981,Smart ,"Smart Wrist Watch Phone(SIM Card,Memory Card, Camera Etc)","₦ 7,500 ",-49%,"₦ 3,790 "
1227,982,Apple ,"IPhone X 5.8-Inches Super AMOLED (3GB RAM, 256GB ROM) IOS 11.1.1, (12MP + 12MP) + 7MP 4G LTE Smartphone - Silver",,,"₦ 282,900 "
1228,983,Gionee ,"S11 Lite 5.7-Inch HD 18:9 Full Screen (4GB,32GB ROM) Android 7.1 Nougat, (13MP + 2MP) + 16MP, Hybrid Dual SIM 4G LTE Fingerprint ID Smartphone - Gold","₦ 78,990 ",-54%,"₦ 36,200 "
1229,984,Samsung ,Level U Bluetooth Neckband Earpiece,"₦ 10,000 ",-53%,"₦ 4,689 "
1230,985, ,"Redmi Note 7 6.3-Inch (4GB RAM, 64GB ROM) Android 9.0 (Pie) (48MP + 5MP) + 13MP 4G Face & Fingerprint ID  - Blue","₦ 72,000 ",-6%,"₦ 67,800 "
1232,986,Infinix ,"Infinix S4 6.2""HD+ Water-drop (64GB ROM+6GB RAM) 13MP+8MP+2MP 32MP FF, Android 9pie, 4000mAh Battery-  Nebula Blue","₦ 66,000 ",-1%,"₦ 65,800 "
1233,987,Generic ,Smart Watch Bluetooth SmartWatches Men Support SIM TF Card Call Heart Rate Pedometer Sport Mode,"₦ 75,600 ",-74%,"₦ 20,000 "
1234,988,Generic ,"A1 Smartwatch With Sim & Memory Card, Camera & Pedometer-Black","₦ 7,500 ",-54%,"₦ 3,475 "
1235,989,A1 Smartwatch ,"Smart Watch Single Sim GSM, Bluetooth, Memory Card Slot & Camera For Android And IPhone-Black","₦ 6,000 ",-42%,"₦ 3,490 "
1237,990,Generic ,Smart Watches Wrist Dial SMS Remind Pedometer SmartWatch,"₦ 15,000 ",-65%,"₦ 5,220 "
1238,991,Henan ,"20,000mAh Power Bank - White",,,"₦ 2,300 "
1239,992,Generic ,Smart Watch---Metal Strap Bluetooth Wrist Smartwatch Support Sim TF Card Android&IOS Watch Multi-languages---SILVER,"₦ 9,000 ",-33%,"₦ 5,995 "
1240,993,Generic ,Fitness Tracker 0.96-Inch TFT Display Smartwatch,"₦ 6,000 ",-62%,"₦ 2,300 "
1242,994,Taiwan ,32GB Mobile Phone Memory Card Memory Card TF Card Driving Recorder Memory Card,"₦ 3,040 ",-41%,"₦ 1,800 "
1243,995,Generic ,S530 Upgrade 4.2 Bluetooth Earphone Mini Wireless Bluetooth ,₦ 800 ,-15%,₦ 680 
1244,996,Tecno ,"Spark 3 (KB7) 6.2-Inch HD (1GB,16GB ROM) Android 8.1 Oreo, 13MP + 8MP Dual SIM 3G Smartphone - Midnight Black","₦ 32,832 ",-2%,"₦ 32,240 "
1245,997,Rocco ,"10,400 mAh Fast Charging Triple USB Port Power Bank With Torch Light + (Free Mini USB Fan)","₦ 5,000 ",-38%,"₦ 3,100 "
1247,998,Infinix ,"Smart 2 HD (X609) 6-Inch HD+ (1GB + 16GB ROM) Android 8.1 Oreo, 8MP + 8MP Dual SIM Face & Fingerprint Unlock 3G Smartphone - Champagne Gold (JA19)","₦ 24,458 ",-4%,"₦ 23,540 "
1248,999,Infinix ,"Smart 2 HD (X609) 6-Inch HD+ (1GB + 16GB ROM) Android 8.1 Oreo, 8MP + 8MP Dual SIM Face & Fingerprint Unlock 3G Smartphone - Midnight Black (JA19)","₦ 24,441 ",-4%,"₦ 23,540 "
1249,1000,Generic ,2019  Smart Watch Color Screen Blood Pressure Fitness Tracker Heart Rate Monitor Smart Band Sport For Android IOS Iphone,"₦ 8,900 ",-60%,"₦ 3,600 "
